"Factor","Max_AUC_Level1","annotation_Level1","Max_AUC_Level2","annotation_Level2","residual"
"GP165",0.586000693267208,"Treg",0.743415937842573,"gdT.Z",0.157415244575366
"GP98",0.520789437343888,"gdT",0.743219131585018,"gdT.Q",0.22242969424113
"GP184",0.607885300962069,"DN",0.739903163958604,"Treg.P",0.132017862996536
"GP33",0.691103497543941,"Tz",0.739899067145429,"Tz.A",0.0487955696014872
"GP76",0.550019420809968,"DN",0.739892730636086,"Tz.P",0.189873309826118
"GP169",0.53793053190978,"CD8aa",0.737812871206272,"DN.P",0.199882339296492
"GP31",0.522725071482066,"CD4",0.737369180809379,"CD8.P",0.214644109327313
"GP42",0.632331643303298,"DN",0.735160010393328,"DN.D",0.10282836709003
"GP50",0.618677878397335,"CD8aa",0.734298111495123,"gdT.E",0.115620233097788
"GP90",0.574881080726369,"Tz",0.73138371353868,"Treg.E",0.156502632812311
"GP120",0.596337745370682,"DP",0.72899852510045,"DN.wM",0.132660779729768
"GP24",0.635313291012426,"DN",0.728747121215658,"DN.I",0.0934338302032323
"GP124",0.60292956367615,"DN",0.728447552917933,"DP.wG",0.125517989241784
"GP75",0.568569033785733,"gdT",0.728179311019723,"gdT.Z",0.159610277233989
"GP109",0.650661866399406,"DP",0.725135972205725,"CD4.S",0.0744741058063197
"GP74",0.679497061149486,"CD4",0.723359878493361,"CD8.F",0.0438628173438748
"GP180",0.518689949413296,"CD8",0.723329405715523,"Tz.B",0.204639456302227
"GP188",0.564268785796614,"DN",0.72302860672401,"CD4.E",0.158759820927396
"GP130",0.638845065901028,"DN",0.721448730165559,"CD8aa.P",0.0826036642645307
"GP60",0.604569156400063,"DN",0.720597767232496,"CD4.P",0.116028610832433
"GP112",0.506295570660384,"CD4",0.720330685441397,"Tz.P",0.214035114781013
"GP19",0.52983722672915,"CD4",0.718969021030806,"CD4.Y",0.189131794301656
"GP123",0.554545253377547,"gdT",0.715981892609582,"gdT.A",0.161436639232035
"GP110",0.601725987217058,"DP",0.714825480265392,"CD8.wV",0.113099493048334
"GP187",0.520132859880156,"Treg",0.713352937046445,"Tz.P",0.193220077166289
"GP125",0.617417289704708,"DN",0.711684792871767,"DN.D",0.0942675031670592
"GP91",0.620601693426991,"DN",0.711286014584735,"DN.D",0.090684321157744
"GP134",0.580153663437496,"DN",0.708451375070641,"CD4.E",0.128297711633145
"GP59",0.547373379327105,"Tz",0.705015143862562,"gdT.Q",0.157641764535457
"GP194",0.603930044658312,"Treg",0.70496360368188,"Tz.D",0.101033559023568
"GP147",0.610861603051427,"DN",0.70368831157227,"DN.C",0.0928267085208422
"GP108",0.55026915531863,"DN",0.703180260775425,"gdT.R",0.152911105456796
"GP40",0.595285298118488,"DP",0.700706303800971,"CD8.wV",0.105421005682484
"GP55",0.587991086929834,"DP",0.698961535363619,"CD4.wZ",0.110970448433785
"GP52",0.611514364216183,"DN",0.697246426583634,"DN.D",0.0857320623674507
"GP84",0.55907531892742,"CD4",0.696963723097325,"DN.D",0.137888404169905
"GP82",0.581229056724636,"DP",0.696417575779648,"CD4.E",0.115188519055012
"GP167",0.560600388475702,"CD8aa",0.694248027992327,"gdT.S",0.133647639516625
"GP157",0.571884857461206,"DN",0.693505920980202,"DN.C",0.121621063518995
"GP103",0.604001281799552,"Treg",0.693177496120571,"gdT.Z",0.0891762143210191
"GP87",0.588244525360923,"DN",0.691801350034166,"Tz.D",0.103556824673243
"GP160",0.582635345214779,"DN",0.691206326585699,"DN.C",0.108570981370919
"GP105",0.622567979398599,"DN",0.690447149871043,"CD8.P",0.0678791704724433
"GP137",0.556204332128174,"DN",0.690188927310518,"CD4.P",0.133984595182344
