"panel","lineage","drawn_in_4c","cluster","n_cells","gp","color","mean_loading","proportion"
"a","CD8",FALSE,"CD8.H",1366,"GP20","#005300FF",0.000167362421665924,0.000142772425006434
"a","CD8",FALSE,"CD8.I",198,"GP20","#005300FF",6.98537921332465e-08,5.055756627448e-08
"a","CD8",FALSE,"CD8.J",1203,"GP20","#005300FF",0.000485379899498177,0.000313349469000765
"a","CD8",FALSE,"CD8.K",214,"GP20","#005300FF",0.130296170671493,0.0666175213922107
"a","CD8",FALSE,"CD8.Q",2445,"GP20","#005300FF",2.3888077174153e-05,2.14560757723513e-05
"a","CD8",FALSE,"CD8.R",1006,"GP20","#005300FF",0.000110952930973587,9.58817237704024e-05
"a","CD8",FALSE,"CD8.T",901,"GP20","#005300FF",6.76525948487782e-08,6.45663189270554e-08
"a","CD8",FALSE,"CD8.wV",481,"GP20","#005300FF",0.000811365167317435,0.000878063509129884
"a","CD8",FALSE,"CD8.wY",234,"GP20","#005300FF",6.50681735442657e-08,4.71267060834456e-08
"a","CD8",FALSE,"CD8.P",2393,"GP20","#005300FF",0.105605896246356,0.0621546491664702
"a","CD8",FALSE,"CD8.A",44112,"GP25","#FFD300FF",0.0542668939216114,0.0631993379878301
"a","CD8",FALSE,"CD8.B",16066,"GP25","#FFD300FF",0.0517969113981022,0.0652916187844635
"a","CD8",FALSE,"CD8.C",2600,"GP25","#FFD300FF",0.0703542652292082,0.0663129115664438
"a","CD8",FALSE,"CD8.D",2195,"GP25","#FFD300FF",0.0549370572354622,0.0526299168920962
"a","CD8",FALSE,"CD8.E",10027,"GP25","#FFD300FF",0.0569120848844038,0.0501995836681401
"a","CD8",FALSE,"CD8.F",266,"GP25","#FFD300FF",0.0484057890056245,0.0342684924007381
"a","CD8",FALSE,"CD8.G",997,"GP25","#FFD300FF",0.109218526818521,0.0868673741830192
"a","CD8",FALSE,"CD8.H",1366,"GP25","#FFD300FF",0.0929712699750378,0.079311314559967
"a","CD8",FALSE,"CD8.I",198,"GP25","#FFD300FF",0.15504585787459,0.112216402226607
"a","CD8",FALSE,"CD8.J",1203,"GP25","#FFD300FF",0.238695795418847,0.154096205517657
"a","CD8",FALSE,"CD8.K",214,"GP25","#FFD300FF",0.349944921734639,0.178919021101003
"a","CD8",FALSE,"CD8.Q",2445,"GP25","#FFD300FF",0.115066452064005,0.10335174724788
"a","CD8",FALSE,"CD8.R",1006,"GP25","#FFD300FF",0.108153452806472,0.093462510596264
"a","CD8",FALSE,"CD8.T",901,"GP25","#FFD300FF",0.0815421522146289,0.0778222419650961
"a","CD8",FALSE,"CD8.wV",481,"GP25","#FFD300FF",0.0558048399027041,0.0603922814599078
"a","CD8",FALSE,"CD8.wY",234,"GP25","#FFD300FF",0.0688129857980838,0.0498389485948067
"a","CD8",FALSE,"CD8.P",2393,"GP25","#FFD300FF",0.189721524969826,0.111661140551459
"a","CD8",FALSE,"CD8.A",44112,"GP26","#009FFFFF",0.0466217129182863,0.0542957442257618
"a","CD8",FALSE,"CD8.B",16066,"GP26","#009FFFFF",0.0411944934352276,0.0519269409853367
"a","CD8",FALSE,"CD8.C",2600,"GP26","#009FFFFF",0.0807562253250068,0.0761173528139376
"a","CD8",FALSE,"CD8.D",2195,"GP26","#009FFFFF",0.0620127642912039,0.0594084720793609
"a","CD8",FALSE,"CD8.E",10027,"GP26","#009FFFFF",0.0826146741776771,0.0728706786444744
"a","CD8",FALSE,"CD8.F",266,"GP26","#009FFFFF",0.0865486482757067,0.0612714255186623
"a","CD8",FALSE,"CD8.G",997,"GP26","#009FFFFF",0.169657277338245,0.134937566205245
"a","CD8",FALSE,"CD8.H",1366,"GP26","#009FFFFF",0.150083085662777,0.128031883616594
"a","CD8",FALSE,"CD8.I",198,"GP26","#009FFFFF",0.131773606890592,0.0953728159938729
"a","CD8",FALSE,"CD8.J",1203,"GP26","#009FFFFF",0.168171676815301,0.108567548193744
"a","CD8",FALSE,"CD8.K",214,"GP26","#009FFFFF",0.101972484908986,0.0521362535816064
"a","CD8",FALSE,"CD8.Q",2445,"GP26","#009FFFFF",0.255767285914097,0.229728086804712
"a","CD8",FALSE,"CD8.R",1006,"GP26","#009FFFFF",0.238475820957834,0.206082638740227
"a","CD8",FALSE,"CD8.T",901,"GP26","#009FFFFF",0.0777627286760389,0.0742152337476215
"a","CD8",FALSE,"CD8.wV",481,"GP26","#009FFFFF",0.132996025651369,0.143928975124564
"a","CD8",FALSE,"CD8.wY",234,"GP26","#009FFFFF",0.186968651276337,0.135415152993712
"a","CD8",FALSE,"CD8.P",2393,"GP26","#009FFFFF",0.108358978205232,0.0637749833463089
"a","CD8",FALSE,"CD8.A",44112,"GP29","#9A4D42FF",0.0427985481555264,0.0498432785590545
"a","CD8",FALSE,"CD8.B",16066,"GP29","#9A4D42FF",0.0426055198660047,0.0537055837137615
"a","CD8",FALSE,"CD8.C",2600,"GP29","#9A4D42FF",0.0668074641904153,0.0629698490973385
"a","CD8",FALSE,"CD8.D",2195,"GP29","#9A4D42FF",0.0505547053494367,0.048431606550046
"a","CD8",FALSE,"CD8.E",10027,"GP29","#9A4D42FF",0.0492782561689506,0.0434661276001011
"a","CD8",FALSE,"CD8.F",266,"GP29","#9A4D42FF",0.0479327581459163,0.0339336139749501
"a","CD8",FALSE,"CD8.G",997,"GP29","#9A4D42FF",0.0555130308027206,0.0441525019540516
"a","CD8",FALSE,"CD8.H",1366,"GP29","#9A4D42FF",0.0659926872456901,0.0562966040821615
"a","CD8",FALSE,"CD8.I",198,"GP29","#9A4D42FF",0.0611572483314694,0.044263332616004
"a","CD8",FALSE,"CD8.J",1203,"GP29","#9A4D42FF",0.0534661305007578,0.0345164346922054
"a","CD8",FALSE,"CD8.K",214,"GP29","#9A4D42FF",0.054622769073521,0.0279274016151358
"a","CD8",FALSE,"CD8.Q",2445,"GP29","#9A4D42FF",0.137191196433817,0.123224011900316
"a","CD8",FALSE,"CD8.R",1006,"GP29","#9A4D42FF",0.0868106984087613,0.0750188330502602
"a","CD8",FALSE,"CD8.T",901,"GP29","#9A4D42FF",0.434584110973628,0.414758611587252
"a","CD8",FALSE,"CD8.wV",481,"GP29","#9A4D42FF",0.123621578804426,0.133783901086208
"a","CD8",FALSE,"CD8.wY",234,"GP29","#9A4D42FF",0.054348508260327,0.0393628103471466
"a","CD8",FALSE,"CD8.P",2393,"GP29","#9A4D42FF",0.0619656517518751,0.0364700597400815
"a","CD8",FALSE,"CD8.A",44112,"GP32","#00FFBEFF",0.102042250406734,0.118838617920709
"a","CD8",FALSE,"CD8.B",16066,"GP32","#00FFBEFF",0.101007267565778,0.127322804205015
"a","CD8",FALSE,"CD8.C",2600,"GP32","#00FFBEFF",0.242265047574126,0.228348638466821
"a","CD8",FALSE,"CD8.D",2195,"GP32","#00FFBEFF",0.129982626518058,0.124523867409591
"a","CD8",FALSE,"CD8.E",10027,"GP32","#00FFBEFF",0.195346654836026,0.17230647521788
"a","CD8",FALSE,"CD8.F",266,"GP32","#00FFBEFF",0.195802722021762,0.138616975975062
"a","CD8",FALSE,"CD8.G",997,"GP32","#00FFBEFF",0.171885145832349,0.136709509956414
"a","CD8",FALSE,"CD8.H",1366,"GP32","#00FFBEFF",0.156541336892198,0.133541245755042
"a","CD8",FALSE,"CD8.I",198,"GP32","#00FFBEFF",0.312953286060335,0.226503902188028
"a","CD8",FALSE,"CD8.J",1203,"GP32","#00FFBEFF",0.3749371250884,0.242050297460998
"a","CD8",FALSE,"CD8.K",214,"GP32","#00FFBEFF",0.332202618210874,0.16984777765271
"a","CD8",FALSE,"CD8.Q",2445,"GP32","#00FFBEFF",0.167701343920812,0.150627977130925
"a","CD8",FALSE,"CD8.R",1006,"GP32","#00FFBEFF",0.189367358144685,0.163644786716648
"a","CD8",FALSE,"CD8.T",901,"GP32","#00FFBEFF",0.128847453304789,0.12296950001122
"a","CD8",FALSE,"CD8.wV",481,"GP32","#00FFBEFF",0.0928752360377888,0.100510052626774
"a","CD8",FALSE,"CD8.wY",234,"GP32","#00FFBEFF",0.308103722653782,0.223149241631047
"a","CD8",FALSE,"CD8.P",2393,"GP32","#00FFBEFF",0.247059089599398,0.145407326515331
"a","CD8",FALSE,"CD8.A",44112,"GP37","#783FC1FF",2.99477535100425e-05,3.48772162783332e-05
"a","CD8",FALSE,"CD8.B",16066,"GP37","#783FC1FF",2.19609929893347e-05,2.76825151092011e-05
"a","CD8",FALSE,"CD8.C",2600,"GP37","#783FC1FF",2.04496108881012e-05,1.92749257486077e-05
"a","CD8",FALSE,"CD8.D",2195,"GP37","#783FC1FF",2.87621009328336e-05,2.75542058113732e-05
"a","CD8",FALSE,"CD8.E",10027,"GP37","#783FC1FF",4.74096477421567e-05,4.18179123703417e-05
"a","CD8",FALSE,"CD8.F",266,"GP37","#783FC1FF",3.98808416297969e-05,2.82333238730379e-05
"a","CD8",FALSE,"CD8.G",997,"GP37","#783FC1FF",0.000425750039982692,0.000338621927148537
"a","CD8",FALSE,"CD8.H",1366,"GP37","#783FC1FF",0.000319879837753708,0.000272880971081575
"a","CD8",FALSE,"CD8.I",198,"GP37","#783FC1FF",0.000311691895764718,0.000225590954994739
"a","CD8",FALSE,"CD8.J",1203,"GP37","#783FC1FF",8.48814317410429e-05,5.47973898210021e-05
"a","CD8",FALSE,"CD8.K",214,"GP37","#783FC1FF",4.3002001743402e-05,2.19859628743158e-05
"a","CD8",FALSE,"CD8.Q",2445,"GP37","#783FC1FF",0.00194604362934507,0.00174792049034016
"a","CD8",FALSE,"CD8.R",1006,"GP37","#783FC1FF",0.000263082744781798,0.000227347099734865
"a","CD8",FALSE,"CD8.T",901,"GP37","#783FC1FF",0.000371810221482503,0.000354848434036259
"a","CD8",FALSE,"CD8.wV",481,"GP37","#783FC1FF",0.0115655313571727,0.0125162768350119
"a","CD8",FALSE,"CD8.wY",234,"GP37","#783FC1FF",3.61514017719234e-05,2.61832535479265e-05
"a","CD8",FALSE,"CD8.P",2393,"GP37","#783FC1FF",6.37874448074059e-05,3.7542281199727e-05
"a","CD8",FALSE,"CD8.A",44112,"GP44","#1F9698FF",0.00273521886884141,0.00318544160666909
"a","CD8",FALSE,"CD8.B",16066,"GP44","#1F9698FF",0.00291237359411259,0.00367113755110317
"a","CD8",FALSE,"CD8.C",2600,"GP44","#1F9698FF",0.003048075555246,0.0028729852281785
"a","CD8",FALSE,"CD8.D",2195,"GP44","#1F9698FF",0.00341807531882783,0.00327452959829657
