GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP26,0.166152604210428,0.229644548232974,0.177097463592799,0.251794190586806,0.259712784796809,0.528692832939514,0.339664149082,0.195389260361622,0.249367782461087,0.639359106682753,0.304587950105414,0.245285491822529,0.358976633473752,0.272789611644637,0.249402235210145,0.183584659561427,1,0.47767119598704
GP27,0.00540737341852,0.0784983768703954,8.8509109754058e-05,0.0149110215838151,0.531380873396184,0.096483698425513,0.0395775146243099,0.0980921159291166,0.0709177028137565,0.0346086811275899,0.0569962890532474,0.221281830735732,0.643231140761351,0.0112806386808214,1,0.049386133396003,0.0342572102345239,0.0688705987948663
GP28,0.00870153626725187,0.116317344395066,2.92893918509364e-05,0.00509332322225485,0.197387769379582,0.771084834895912,0.18018975013402,0.271842649463301,0.109187924681032,0.203463515209826,0.37422250809206,0.10830121462958,0.268418229985776,0.0614085419680107,0.721081770027517,1,0.00952567907902649,2.20720406593002e-05
GP29,0.0901948014210779,0.140273477918,0.149496933800562,1,0.295851915979553,0.140035301617182,0.152980017984536,0.0949642516412016,0.111836036190633,0.336814378562334,0.112843770293654,0.0838142585291997,0.190687935167443,0.623856364822591,0.29237235424945,0.100838767311613,0.30925965493743,0.136183294401474
GP30,0.425153299553191,0.78625858938748,0.492440684761058,0.348431155773523,0.372673974622943,0.752173231560136,0.965876146319955,0.268708809245123,0.32548581336759,0.88997996314535,0.854457464300122,0.220023026143007,0.366135608837202,0.330728034714122,0.42881978128392,0.348397969087355,1,0.649400603568829
GP31,1.72894600385497e-08,1.72102305364177e-08,1.68891145378256e-08,1.72995458381483e-08,1.74660632724782e-08,1.73556231137993e-08,1.75066178290268e-08,0.0104840759681513,1.71500186667001e-08,1.62835140360377e-08,1.74784340483521e-08,1,0.00600487930494722,1.72560207724826e-08,0.129130124547978,0.018761076483987,1.63428128957398e-08,1.74326032644363e-08
GP32,0.489703782600934,0.513849671212422,0.399955440891475,0.570263922197405,0.590346633382774,0.56847597657832,0.570198039638686,0.525683780302607,0.53960397293113,0.338205794131832,0.657069127974975,1,0.421680147230317,0.548073466450639,0.767433536224265,0.488277640329683,0.461576912954227,0.535865675138545
GP33,0.682573213494502,0.667935583098047,6.38488185928944e-08,6.42589948769214e-08,0.111155049235281,0.0808279155361401,0.0401283285388298,0.122603526388689,0.0226726682673529,0.114948382259164,1,0.00809404650819595,0.0441259340929859,0.00620900529688975,0.0947738688651892,0.102248502381907,0.0123908439142272,6.42440949022292e-08
GP34,0.179059713750161,1,1.62444373342003e-05,0.577977650050319,0.355500424346585,0.299790326185285,0.737686785143351,0.936046047314918,0.334852303914421,0.525705581410178,0.393384591172456,0.0707942582453019,0.437205895715284,0.516171995308796,0.351737999203887,0.470099892832125,0.274977734182058,0.724119194958259
GP35,0.186331694193255,0.196286347309054,0.488749804396027,0.421001831434166,1,0.510853336665446,0.417727835451259,0.19893411621767,0.411942971478365,0.359230539968839,0.179994390902836,0.52688664490423,0.790548948276388,0.281084124946277,0.828967659780962,0.215564971553697,0.860430667456833,0.48053822259705
GP36,0.000478954822715047,0.000703087244856178,1.24496275534081e-07,0.00333329467701969,0.107786787853048,0.00749381583021385,0.0225168641106155,0.00361885486127338,0.173297236336303,0.00654216512423352,0.000491516781438868,0.364734511538995,0.210794171269911,0.00321174226509221,1,0.0123650626230808,0.0859753621891505,0.00487937712314654
GP37,0.000189070836113799,0.000381165230335139,8.52214718348579e-06,9.2050162750636e-06,0.000398744096283062,0.00102163490102764,0.000392950793615877,0.000461945483004081,0.000407642588873663,1,8.22608341523997e-06,0.000414639253968712,6.58850370548702e-05,3.36704517900003e-05,0.00320711554029171,0.021890942094776,0.00523237528943423,0.00371675188963243
GP38,1.00089367451403e-06,0.00726403363979316,1.01867617836689e-06,1.00416876452974e-06,1.05427526387736e-06,0.0271206752222971,1.04588646822371e-06,0.00131407562451547,9.54923049726602e-07,9.06677983657127e-07,1.08216428473288e-06,1.04721750049548e-06,1.01119648783027e-06,9.85734310111426e-07,0.0443671963764568,0.0246977871552677,1,1.08291942268891e-06
GP39,0.0581942477424399,0.0087473087198924,4.4722755681953e-06,0.643604349825406,0.105824227135485,0.743043451263726,0.433026157840956,0.0054185030651332,0.256336060713866,0.00384269683638038,0.00929680045707795,0.0182380196063762,0.327255821327676,1,0.12322313469059,0.00828440899319087,0.0145490230515692,0.013748286137944
GP40,0.0422662335591776,0.0894850029250979,1,0.0154016325243587,0.0372401154494658,0.0712188652650147,0.0153765081924416,0.0149600241004485,0.0332465693149166,0.183598380721629,0.293965909738007,0.033966893246876,0.053472161156013,0.0109047339311253,0.0782195371067289,0.0784389549905131,0.209411970295477,0.0376213648464162
GP41,0.86073688106174,0.548961055695864,0.444262103983838,0.382321165406542,0.411990360482799,0.48088061986584,0.524490277562315,0.411732442095361,0.705345302236407,0.295903345739424,1,0.914737300958734,0.542788504564038,0.304691115810994,0.360934933419993,0.571729818977378,0.313248738613356,0.449409372758429
GP42,0.0732369274254838,0.287096365475594,8.61213571766404e-06,0.0243049366142747,0.0904124369282405,0.321708706213365,0.180154413516059,0.317700074270326,0.00768648772405981,8.42920303181838e-06,1,8.92642180710671e-06,0.132704885064104,0.0525958917171164,8.6738831567612e-06,0.0468710460811295,8.33185832362097e-06,8.98604395919227e-06
GP43,0.599366157012112,0.658614471348434,0.827647786248838,0.663689779335928,0.519560630808365,0.419941128528844,0.423279420349464,0.670259917681992,0.461775259528667,1,0.673371571375418,0.653056498970712,0.904580946098801,0.951339827777592,0.437482165724633,0.632748287368867,0.259179411404657,0.910725200252594
GP44,0.399060966541969,0.402252334548588,0.357049496497908,0.40230117069577,0.426824545310126,0.415632299894274,0.43239475185587,0.395741228626373,0.409600422871873,0.420893020059068,0.408513117377745,0.490583275896293,0.504944768717393,0.38929448624178,0.652027155986719,0.399188545823136,1,0.38349073998311
GP45,5.06876882433257e-06,0.00505383068895431,5.035512078693e-06,0.0215192771269974,0.00196934311148892,0.00342017711442821,0.0018564111160583,0.00195246082269831,0.00215092152581698,5.02698465186634e-06,5.00870136941503e-06,1,0.00153580608796465,0.0009358481337544,0.314082714073675,0.0284521188433865,5.1025549206053e-06,4.94217398136456e-06
GP46,0.00390567234871753,0.00332266570485353,9.79745391431574e-06,0.00179694786068238,0.00287939254927682,0.00427781312154065,0.0013392287384532,0.00432690168638628,0.000394192589163908,0.00426011530256161,0.00368671267054784,1,0.0106072348154209,0.00885903440493109,0.229718623850825,0.106528547824477,1.05462559170455e-05,1.00775709148832e-05
GP47,1.31706033889246e-08,0.00467734260306308,1.31373645117923e-08,1.32538398552953e-08,1.37698143863137e-08,0.0153106828719984,1.32997859938608e-08,0.000422821313411451,1.41850839293123e-08,1.30592786257669e-08,1.31150398192021e-08,0.00522287427488415,0.00659161244188892,1.71952001351199e-08,1.31637718562469e-08,0.00179162351942904,1,1.31242271386122e-08
GP48,0.0207382299738388,0.051558906561015,0.00232691911437761,0.0189518626150558,0.0550512067056076,0.0512068125489234,0.0490605943839184,0.0346804681970386,0.0200398986135554,0.0191968523490424,0.0127356809577565,0.0837097571695054,0.0870635179211689,0.0128718510476571,0.246136777557949,0.087013411277736,1,0.00796115596943907
GP49,0.579566149251904,0.635963762583457,1,0.404733807040596,0.428232156073753,0.588298322645159,0.558498105989029,0.451325016836389,0.428394414428775,0.0933808239676777,0.442004124438106,0.259925136823102,0.61978409150914,0.39963755736934,0.4152439303117,0.466131949868703,0.34663730877405,0.556083830888163
GP50,0.0310916390450518,0.0601564767596648,1,0.0142191041736527,0.639546452466275,0.00448672180166706,0.0228337407826624,0.0182382090309408,0.0141096756180423,0.014872122065061,0.0551110122324946,0.56725358882449,0.011049698679227,0.0150898160096458,0.25333663412252,0.0834859672955051,0.00897360564885903,0.0180244750264785
GP51,0.605516010269783,0.641960273188574,1,0.593265636830325,0.77567351367685,0.587873124682102,0.621201084807192,0.547061474878248,0.503582750725783,0.27488652248008,0.702831130364402,0.841341501201496,0.553699751787465,0.585232734331805,0.702342147862562,0.617881372944422,0.528441739530752,0.983414721258644
