dimension,order,label,dominant_group,dominant_group_position,dominant_mean,second_mean,dominance_gap,dominant_gp_count
GP row,56,GP9,DP.wC,98,0.62324141025659,0.222474171546296,0.400767238710294,NA
GP row,57,GP77,DP.wE,100,0.168511603313502,0.101688706835932,0.0668228964775699,NA
GP row,58,GP101,DP.wF,101,0.608551720085624,0.232154251546732,0.376397468538892,NA
GP row,59,GP14,DP.wG,102,0.528303559260926,0.0902545367410176,0.438049022519909,NA
GP row,60,GP7,DP.wG,102,0.229282561203202,0.0432604575770764,0.186022103626126,NA
GP row,61,GP171,DP.wG,102,0.322376190223055,0.255032090378825,0.0673440998442295,NA
GP row,62,GP15,DP.wH,103,0.3981232875602,0.304511286946438,0.0936120006137622,NA
GP row,63,GP20,DP.wP,105,0.17403534273536,0.149806142464612,0.024229200270748,NA
GP row,64,GP1,DP.wY,107,0.516778775518228,0.508547891806612,0.00823088371161651,NA
Group column,1,CD8.A,NA,1,NA,NA,NA,0
Group column,2,CD8.B,NA,2,NA,NA,NA,0
Group column,3,CD8.C,NA,3,NA,NA,NA,0
Group column,4,CD8.D,NA,4,NA,NA,NA,0
Group column,5,CD8.E,NA,5,NA,NA,NA,0
Group column,6,CD8.F,NA,6,NA,NA,NA,0
Group column,7,CD8.G,NA,7,NA,NA,NA,0
Group column,8,CD8.H,NA,8,NA,NA,NA,0
Group column,9,CD8.I,NA,9,NA,NA,NA,0
Group column,10,CD8.J,NA,10,NA,NA,NA,1
Group column,11,CD8.K,NA,11,NA,NA,NA,2
Group column,12,CD8.P,NA,12,NA,NA,NA,0
Group column,13,CD8.Q,NA,13,NA,NA,NA,1
Group column,14,CD8.R,NA,14,NA,NA,NA,1
Group column,15,CD8.S,NA,15,NA,NA,NA,0
Group column,16,CD8.T,NA,16,NA,NA,NA,0
Group column,17,CD8.wM,NA,17,NA,NA,NA,1
Group column,18,CD8.wU,NA,18,NA,NA,NA,0
Group column,19,CD8.wV,NA,19,NA,NA,NA,0
Group column,20,CD8.wX,NA,20,NA,NA,NA,0
Group column,21,CD8.wY,NA,21,NA,NA,NA,0
Group column,22,CD4.A,NA,22,NA,NA,NA,0
Group column,23,CD4.B,NA,23,NA,NA,NA,2
Group column,24,CD4.C,NA,24,NA,NA,NA,0
Group column,25,CD4.D,NA,25,NA,NA,NA,0
Group column,26,CD4.E,NA,26,NA,NA,NA,0
Group column,27,CD4.F,NA,27,NA,NA,NA,0
Group column,28,CD4.G,NA,28,NA,NA,NA,0
Group column,29,CD4.H,NA,29,NA,NA,NA,1
Group column,30,CD4.I,NA,30,NA,NA,NA,0
Group column,31,CD4.P,NA,31,NA,NA,NA,0
Group column,32,CD4.Q,NA,32,NA,NA,NA,0
Group column,33,CD4.R,NA,33,NA,NA,NA,1
Group column,34,CD4.S,NA,34,NA,NA,NA,0
Group column,35,CD4.T,NA,35,NA,NA,NA,0
Group column,36,CD4.U,NA,36,NA,NA,NA,2
Group column,37,CD4.wM,NA,37,NA,NA,NA,0
Group column,38,CD4.wN,NA,38,NA,NA,NA,2
Group column,39,CD4.wZ,NA,39,NA,NA,NA,0
Group column,40,CD4.X,NA,40,NA,NA,NA,0
Group column,41,CD4.Y,NA,41,NA,NA,NA,6
