"gene_symbol","signature_name","score"
"Ptpn18","GP4_up",0.59243329893221
"Naca","GP4_up",0.585966117305796
"Eif3f","GP4_up",0.58133754845556
"Psmb8","GP4_up",0.561172450700464
"Shisa5","GP4_up",0.560398881311754
"Itm2b","GP4_up",0.550109353420256
"Klf2","GP4_up",0.54900631630557
"Ly6e","GP4_up",0.526495625182324
"Actg1","GP4_up",0.52535024094661
"H3f3b","GP4_up",0.522927914120419
"Ptma","GP4_up",0.520006326823091
"Camk1d","GP4_up",0.516963647628827
"Eif1","GP4_up",0.514007296197847
"Cnn2","GP4_up",0.513118977565301
"Coro1a","GP4_up",0.509699869739418
"Eef1a1","GP4_up",0.490024597762938
"Ltb","GP4_up",0.489855429776993
"Ucp2","GP4_up",0.4878609043669
"H2-K1","GP4_up",0.457760371265592
"Ifi27l2a","GP4_up",0.457355881574856
"Ftl1","GP4_up",0.454472591391761
"Oaz1","GP4_up",0.448115498653601
"Psme1","GP4_up",0.447788582713036
"Cd3g","GP4_up",0.446659644465578
"Npm1","GP4_up",0.439636665829512
"Cd3d","GP4_up",0.438821597876653
"Pfdn5","GP4_up",0.426605165267681
"Selenow","GP4_up",0.410185549006705
"Arpc1b","GP4_up",0.408063068167345
"Atp5e","GP4_up",0.407503514801414
"Cnbp","GP4_up",0.399051855946765
"Ms4a4b","GP4_up",0.394834020167516
"Cox8a","GP4_up",0.389028606529408
"Eif5a","GP4_up",0.382693335794593
"Cd52","GP4_up",0.379657425304776
"Eef1d","GP4_up",0.379636309497047
"Cd3e","GP4_up",0.376786633798866
"Lat","GP4_up",0.373097855323043
"Tmsb4x","GP4_up",0.363230122134289
"Clic1","GP4_up",0.360158447406259
"Atp5g2","GP4_up",0.358494114392711
"Fxyd5","GP4_up",0.347833228238451
"Hcst","GP4_up",0.341797763221783
"Rn7sk","GP4_up",0.337613474953388
"Eif3h","GP4_up",0.325806201989436
"Btf3","GP4_up",0.32540484058058
"Hspa8","GP4_up",0.322934093356832
"Psme2","GP4_up",0.319859732146628
"Rbm3","GP4_up",0.319574193959917
"Il31ra","GP4_up",0.317457257009788
"Ccr7","GP4_up",0.317262311460031
"Sh3bgrl3","GP4_up",0.312973117289769
"Myl6","GP4_up",0.308003005082602
"Junb","GP4_up",0.304319042940218
"Lck","GP4_up",0.303862789195502
"Lars2","GP4_up",0.301935443890303
"Arf5","GP4_up",0.301049218528156
"Atp5d","GP4_up",0.300783206737352
"Eef1b2","GP4_up",0.294184931228103
"Aldoa","GP4_up",0.287032977227422
"Ypel3","GP4_up",0.286141912433095
"Atp5g3","GP4_up",0.284372898231881
"Septin1","GP4_up",0.282846940820509
"Taf10","GP4_up",0.280118454900614
"Atp5h","GP4_up",0.278663553588347
"Slc25a3","GP4_up",0.277545171115048
"Tle5","GP4_up",0.275394184546886
"Ifi47","GP4_up",0.273385948643761
"Dad1","GP4_up",0.271689245343289
"Snrpg","GP4_up",0.271663822421386
"Eif3i","GP4_up",0.271174361618025
"Gng5","GP4_up",0.27044811410854
"Atp5c1","GP4_up",0.269240969247875
"Cyba","GP4_up",0.266392897069594
"Trmt112","GP4_up",0.264102564876686
