"GP","mean_change_loadings_CD4","mean_change_loadings_CD8","AveExpr_CD4","AveExpr_CD8","d_CD4","d_CD8","Ratio_CD8_CD4"
"GP91",7.10967368655452e-05,2.70229167087605e-05,5.92869812916312e-05,4.1968033104807e-05,0.0191738135552082,0.00728770952837906,0.380086596096034
"GP92",2.4366667260758e-06,2.12800711288164e-06,4.27720090491808e-06,3.77211895091179e-06,0.00905528806211194,0.00790822856451934,0.873327111216706
"GP93",2.46791202579706e-05,1.68249261154628e-05,1.14967185564687e-05,1.0300879111956e-05,0.0252901736524235,0.0172415101795139,0.681747401835721
"GP94",3.27457406291353e-05,8.18209592303684e-05,0.00021076469582933,0.000175317606714595,0.00482528394072012,0.0120568157263584,2.49867487063551
"GP95",9.29635577310311e-05,8.60949997039192e-05,4.57150550186035e-05,4.43510905736599e-05,0.0180698729539528,0.0167347909717651,0.926115585561124
"GP96",1.15331232028411e-05,-2.97161571676286e-06,6.97605940794029e-06,2.97211617684778e-06,0.0105368081180974,-0.00271490593289938,-0.257659236314307
"GP97",-4.64327236068607e-06,-3.55068216376379e-06,4.43386939257783e-06,3.35453667304468e-06,-0.00317492428421496,-0.00242784531071464,0.76469392444581
"GP98",0.000100611661611381,-1.25522376417159e-05,9.02422966229242e-05,3.17610059220094e-05,0.0161674653492546,-0.00201704120454657,-0.124759271844647
"GP99",7.93590435787786e-05,0.000231854849714868,0.000208864439027009,0.000242639562448032,0.00954697457150777,0.0278923769073814,2.92159329622853
"GP100",0.000444171818842592,0.00380372751714835,0.00016332718796126,0.00146235980701466,0.0316080116060087,0.270679629836505,8.56363991542727
"GP101",-0.0107516576800614,-0.00250875077773247,0.0482920692230516,0.0423677449071419,-0.307788250359571,-0.0718181359046094,0.233336184278342
"GP102",1.78026083007191e-06,-9.599528848002e-06,4.39207023137713e-06,6.70165609935623e-06,0.0010856029079608,-0.00585379190307953,-5.39220359502841
"GP103",9.42408697668912e-06,-4.58650046509887e-06,5.63674476357762e-06,2.07524698690065e-05,0.00332227240418905,-0.0016168785331342,-0.486678494844516
"GP104",-2.21563240985024e-06,1.8614569448426e-06,3.99024528934444e-06,3.7832168755377e-06,-0.00679632662544157,0.0057099134947218,-0.84014701020212
"GP105",-1.2494157593087e-05,-4.05077984866056e-07,8.69610722807663e-06,6.23048559955658e-07,-0.00635301643076143,-0.000205973638032041,0.0324213923066077
"GP106",2.24628767383511e-05,2.14765855523426e-06,1.34010864987117e-05,4.04234544036332e-06,0.00997902425250319,0.000954086916756679,0.0956092392016534
