"GP","blood","spleen","LN","bone marrow","lung","liver","peritoneal cavity","colon epi","small intestine epi","colon LP","small intestine LP","skin","mammary gland","uterus","placenta","submandibular gland","kidney","CNS"
"GP21",0.498580083318918,0.513156757349503,0.5149163975488,0.507981869105889,0.515764463127329,0.503548439006776,0.559898275021764,0.506014515648075,0.526636908179846,0.503564924808629,0.500922344795232,0.532673705326785,0.515440732145318,0.538514283574921,0.591182695362149,0.568059065771724,0.516483100385975,0.67753566522603
"GP22",0.502130419881715,0.532007812211438,0.529151520340088,0.650174912670158,0.555979010057101,0.627361977128352,0.612442674861462,0.705478093573499,0.56056065053994,0.659631084039609,0.51629338283661,0.496952262628975,0.810814630548107,0.621270923652996,0.60397075124043,0.490361600215336,0.542996701574516,0.63105802351559
"GP23",0.616406858306521,0.515324059858556,0.524161982683518,0.608900349319367,0.524673357849479,0.516152029269569,0.581308143611714,0.492372772562662,0.54036097227514,0.525269604373145,0.573165031866423,0.845081468120502,0.63182857155064,0.567676975950474,0.652408255907224,0.78348718199818,0.546323788048228,0.864955532639843
"GP24",0.573721684162825,0.518152021501226,0.551732805606519,0.607738687845474,0.595110943386559,0.513152549006041,0.692855544569262,0.556636274273849,0.555493610054568,0.588895255118592,0.502011103693017,0.535378795744978,0.612139619049308,0.652457281592219,0.580434524414285,0.61314491502948,0.522357891089203,0.654534195766583
"GP25",0.537426526117254,0.56157377914198,0.578037889131113,0.527861251136826,0.53360879627272,0.607541539998357,0.788921197366109,0.564492261423924,0.546789454738597,0.613398964655746,0.502240704327429,0.76692703077285,0.505058873313415,0.737976109863007,0.576830261282697,0.7608927426245,0.598096527084394,0.553151242428596
"GP26",0.612366971635328,0.604281436524809,0.528382151420953,0.501189143585932,0.548286337684911,0.647389279104161,0.585561323854832,0.59042345014852,0.594744444927828,0.526722345691241,0.500472906387247,0.650552050819156,0.890189501703059,0.724367464668017,0.516860683466085,0.923772122713178,0.70176096541447,0.634727221789197
"GP27",0.533327170303023,0.540600358176283,0.540192912000269,0.587541391895466,0.539955259990486,0.507517228331611,0.559707452197099,0.530883353511777,0.504514621219035,0.649922060598389,0.670316963522079,0.530282783640668,0.649837043949782,0.589515705308325,0.60549060151754,0.603360487673964,0.523910303320414,0.589149396173811
"GP28",0.533058585538559,0.544097703932976,0.547205687904703,0.554138425014285,0.529152738683769,0.599726718076343,0.652490200189736,0.541710428530746,0.564913639378886,0.566267923556238,0.497624432202175,0.534502656897012,0.54480665874953,0.552382337923943,0.584164635917445,0.622518905900133,0.632094778592513,0.759033657699449
"GP29",0.629462924686605,0.637753054099897,0.600783998059793,0.53255216189101,0.481836351472302,0.569833706761601,0.572652273971598,0.938601831882679,0.834837125308708,0.65520969888778,0.623740649846386,0.601443048003989,0.78300172727747,0.51855382765602,0.669155322867829,0.753051406491535,0.554596195430437,0.533841011015225
"GP30",0.526095118170427,0.564369385728622,0.56562215403859,0.664082533451189,0.5244716199236,0.696204916982707,0.790601190850765,0.556280194067863,0.541875538783099,0.539800782446263,0.535014442874009,0.548857345836871,0.832225426362515,0.665017619567429,0.65701760085471,0.854679354259003,0.680687125261442,0.559823783542309
