"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP90","CD45RB, CD8B, CD38, CD8A, ITB7","LY49A, CD29, CD49B, ICOS.CD278",0.001,0,FALSE
"GP125","CD62L","LY49A",0.001,0.001,FALSE
"GP129","","CD8B, CD8A, CD73.5NTD, NEUROPILIN1.CD304",0.001,0.001,FALSE
"GP179","KLRG1, CD11A, CD49B","",0.001,0,FALSE
"GP184","CD86, ITAM.CD11B","THY1.2, ICOS.CD278, KLRG1, CD44",0.001,0,FALSE
"GP5","CD8A, CD8B, CD73.5NTD, CD38, CD103, CD45RB, ICAM1, ITB7, CD29, CD44, CD69, CD49B","",0,0.002,FALSE
"GP17","CD24","CD44, THY1.2, KLRG1",0,0.004,FALSE
"GP19","","CD62L, THY1.2",0,0,FALSE
"GP21","","CD45RB, CD73.5NTD, CD55.DAF, THY1.2, CD5, CD62L, ITB7, CD8A, CD2, CD103, CD44, CD31, IL7RA.CD127, CD38, CD27, CD8B, CD69, CD4",0,0.006,FALSE
"GP24","CD4, CD49B, CD29","ICAM1, CD45RB, CD73.5NTD, CD8B",0,0,FALSE
"GP31","CD55.DAF, THY1.2, CD31, ICOS.CD278, KLRG1, CD8B, CD39, CD8A","CD86",0,0,FALSE
"GP34","CD86, ITAM.CD11B","THY1.2, ICOS.CD278, KLRG1, CD44, CD27",0,0.001,FALSE
"GP39","CD49B, CD29, CD4, LY49A","CD45RB, ICAM1, CD73.5NTD, CD38, CD27, CD8B, ITA4.CD49D",0,0.001,FALSE
"GP40","ITAM.CD11B, CD86, CD39, GR1-LY6G-LY6C1-LY6C2, GITR.CD357, CD38","THY1.2, ICOS.CD278, KLRG1, CD27, CD44",0,0.003,FALSE
"GP42","CD45RB, GITR.CD357, CD86, ICAM1, GR1-LY6G-LY6C1-LY6C2, ITB7","THY1.2, ICOS.CD278, CD29, CD49B, KLRG1, NEUROPILIN1.CD304, LY49A",0,0,FALSE
"GP44","THY1.2, ICOS.CD278, KLRG1, CD44","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, GITR.CD357, CD45RB",0,0,FALSE
"GP47","ITB7, CD24, CD29, CD103, CD8B, CD5","CD45RB",0,0,FALSE
"GP50","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, CD45RB, CD38, CD4, GITR.CD357","ICOS.CD278, THY1.2, KLRG1, CD44",0,0.009,FALSE
"GP52","","CD8B, CD73.5NTD, CD38, THY1.2, CD45RB",0,0,FALSE
