"GP","Level1","Level2","Organ","Signature_Genes_Pos","Signature_Genes_Neg"
"K41","","CD8.B; CD4.B","","Il7r; CT010467.1; Crlf3; Mir6236; Ms4a4b","Actg1; Cd52; Actb; Pfn1; Cnn2"
"K42","","","","Reg2; Prss2; Reg1; Ctrb1; Try5","Fabp2; Gzmk; Apoa1; Rbp2; Fabp1"
"K43","","CD4.wN; gdT.R","","Tpt1; H2-D1; Rack1; H2-K1; CT010467.1","Hexb; Camk1d; Mir6236; Il31ra; Lars2"
"K44","","CD8.P; CD4.P; Treg.P; CD8aa.P; Tz.P; DN.G; DN.P; DP.wH","","H2ac8; H1f5; CT010467.1; H1f4; H4c4","Gzmb; Gzma; Crip1; Tyrobp; Vim"
"K45","","","","Tpbpa; Prl7d1; Prl2c5; Prl2b1; Prl8a9","Cts6; Psg16"
"K46","","DN.G","","H19; Tcf25",""
"K47","","","","Crisp3; Klk1b26; Klk1; Klk1b9; Nfkbid",""
"K48","","DP.wF; DP.wG","","Dntt; Ly6d; Ly6e; Gzma; Crip1","Tmsb10; Tmsb4x; Cd52; Vim; H2-K1"
"K49","","CD8.wU; CD4.wN; gdT.E","CNS","CT010467.1; Mir6236; Cmss1; Cdk8; Camk1d",""
"K50","","gdT.X","","Jchain",""
"K51","","gdT.U","","Tmsb4x; Actb; Pfn1; Ppia; CT010467.1","Rn7sk; Ifi27l2a; Tcf7; Ccr7; Ypel3"
"K52","","","","Alb; Serpina1b; Serpina1e; Gnmt; Serpina1d","Cttnbp2; Fabp2; Gzmk"
"K53","","gdT.Z","","Olfm3; Mest; Foxo1; Trmt61b; Ifngr1","Cd7; Fcer1g; Nkg7; Vim; S100a6"
"K54","","","","BC018473; CT010467.1; Cdk8; Mir6236; H2-D1","H2-K1; Ly6e; Rbm3"
"K55","","","","Mpo; Ube2c; Hmgb2; Cenpa; Birc5","Myl10; Crip1"
"K56","","CD4.U","","Il13; Areg; Gadd45b; Il4",""
"K57","","CD8.P; DN.P","","Nrgn; Gzmk; Tff1; Lag3; Stat3","Crip1; Klra7; Il22; Fth1; Gzmg"
"K58","CD8","CD8.A; CD8.B; CD8.C; CD8.E; CD8.F; CD8.wM","","Cd8b1; Cd8a; Nkg7; Ly6c2; Ctsw","Cd4"
"K59","","","","Pnlip; Cela2a; Ctrb1; Prss2; Clps","Defb25"
"K60","","CD4.U","","Rgs6; Hdac9; Ptprk; Slamf7; Slit3","Sostdc1; Gzmk"
"K61","","","","CT010467.1; Cdk8; H2-Q6; Rack1; H2-D1","H2-K1; Ly6e; Rbm3; H2-T23; Ubb"
"K62","","CD8.wV; CD4.wZ; gdT.A; gdT.B; gdT.C; gdT.D; gdT.E; CD8aa.C; CD8aa.D; CD8aa.E; DP.wD; DP.wE; DP.wY","","Gzma; Gzmb; Ccl5","CT010467.1; Cmss1; Cdk8; Xcl1; Eef1a1"
"K63","","CD4.Y; gdT.R; gdT.T; gdT.X; gdT.Z; DN.E","skin; kidney","Vps37b; Emb; Litaf; Ifngr1; Nr4a2","Coro1a"
"K64","","","","Car1",""
"K65","","","","Fabp2; Clec2h; Rbp2; Fabp1; Il22ra1","Gzmk; Apoa4; Alpi; Krt20; Myo15b"
"K66","","","","Tubb1; Nrgn; Cd9; Pf4; Gng11",""
"K67","","","CNS","Gata2; Cd34; Angpt1; Atpif1; Olfr91","Gzmk; Hs6st2; H19; Cpa3; Cd3e"
"K68","Treg","Treg.A; Treg.B; Treg.C; Treg.D; Treg.E; Treg.F; Treg.P; Treg.wM; gdT.X; DN.G","","Foxp3; Ikzf2; Izumo1r; Il2ra; Ifi27l2a","Tcf7; Igfbp4; Themis; Lef1; Pde3b"
"K69","","gdT.R; gdT.T","","Ccl5; S100a6; Nkg7; Gzmb; Crip1","Tmem176b; Ifngr1; Bhlhe40; Tmem176a; Junb"
"K70","","","","Taf7l; Tpbpb; Tpbpa; Psg16; Ceacam11","Il22; Il1r2; Ermn; Prl3b1; Flt1"
"K71","","gdT.X","","Cts6; Il22; Prl8a8; Psg26","Tpbpa; Prl3b1; Prl8a9; Tpbpb; Prl2c5"
"K72","","CD4.T; CD4.X; CD4.Y; gdT.R; gdT.S; gdT.T; gdT.X","skin","Bhlhe40; Ramp3; Emb; Tnfsf11; Junb","Ccl5; S100a6; Gzmb; Crip1; Lgals1"
"K73","","","","Ifngr1; CT010467.1; Tmem176b; Bhlhe40; Tmem176a","Gzmb; Crip1; S100a6; Ccl5; Nr4a2"
"K74","","","","S100a9; CT010467.1; Cmss1; Lars2; Tpt1",""
"K75","","","","n-R5-8s1; Rn7sk; Dpp8; Klf10; Pdcd1lg2",""
"K76","","","","Tmsb10; Cd52; H2ac8; H1f5; Tuba1b","CT010467.1; Crip1; Dntt; Ly6d; Ly6e"
"K77","","CD8.wV; CD4.wZ; DP.wD; DP.wE","mammary gland","Cd74; H2-Aa; H2-Eb1; H2-Ab1; Cd79a","Cdk8; Cmss1"
"K78","","","","Stfa3; Klra7; Gzmb; Gzma; Itga4","Olfm3; Sostdc1; Tmsb10; Cxcl3; Cd8a"
"K79","","CD4.Q; CD4.S; CD4.T; CD4.U; CD4.X; CD4.Y; gdT.Q; gdT.S; gdT.U; gdT.X; Tz.D","","Tmem176b; Bhlhe40; Ifngr1; Tmem176a; Junb","Ccl5; S100a6; Gzmb; Nkg7; Crip1"
"K80","DN","CD8.E; CD8.G; CD8.H; CD8.J; CD8.wY; CD4.G; CD4.R; CD4.S; Treg.F; gdT.G; gdT.J; gdT.Q; gdT.V; CD8aa.B; Tz.B; DN.A; DN.B; DN.C; DN.D; DN.wM","peritoneal cavity","Ccl5; Klf2; Crip1; Itgb1; Ly6c2","Inpp4b; Tpt1; Eef1a1; Igfbp4; Rack1"
"K81","","","","Ccl5; S100a6; Nkg7; Gzmb; Ccl4","CT010467.1; Cmss1; Emb; Tmem176b; Bhlhe40"
"K82","","gdT.X","CNS","Mcpt8; Prss34; Il22; Cd63; Ms4a2","Gzma; Gzmk; Cxcl3"
"K83","","","","Tff1; Tmem176b; Tmem176a; Emb; Rgs1","S100a6; Sostdc1; Ccl5; Crip1; Pdcd1"
"K84","","","","Mucl2; Itgb1","Gzmk"
"K85","","gdT.X; gdT.Z","","Gzmb; Ccl5; S100a6; Crip1; Nkg7","Ifngr1; Tmem176b; CT010467.1; Junb; Tmem176a"
"K86","","","","Myh6; Ogfod3; Atp2a2; Gypc; Rrp1b","Gzmk; Defa24; Cyp2c50; Defa39; Defa23"
"K87","","CD4.U","","A2m; Cryab; Gpx3; Rarres2; Fabp4","Erv3; Slc39a8; Gzmk; Bambi; Ccrl2"
"K88","","","","Cxcl3; Sostdc1; CT010467.1; Tmsb10","Gzmk; Il22; Odc1; Ccl5; Gzmb"
"K89","","","","Cmss1; Mir6236; Kap; Gphn; Gpx3","Xist; Rn7sk; Rbm3; Gzmk"
"K90","","","","Reg3b; Fabp6","Fabp2; Fabp1; Rbp2; Gzma; Klra7"
"K91","","","","Ctrb1",""
"K92","","","","Igf1r; Gab3; Xist; Eml4; Il12rb2","Trmt61b; Adamtsl3; Rhoq; Carmil1; Btbd9"
"K93","","gdT.Z","","Mest; Slc25a3; Trmt61b; Atp5md; Cwc25","Vim; Cd3g; Cd7; Cd3e; Trat1"
"K94","","","","Apoa4; Alpi; Myo15b","Fabp2; Rbp2; Fabp1; Reg3b; Hspa1a"
"K95","","","","Defb25; Fabp2","Ctrb1; Prss2"
"K96","","gdT.X","CNS","Olfm5; Angpt1; Ctla2a; Alox5ap; Ly6d","Ccr9; Gzma; Cpa3; Igfbp4; Tmsb10"
"K97","","","","Tex50; Mpp7; Vmp1; Zmym6; Plekhg1","Cd163l1"
"K98","","","","Tmsb10; Tmsb4x; Cd52; Vim; H2-K1","Dntt; Ly6e; Ly6d; Crip1; Gzma"
"K99","","","","Glis1",""
"K100","","gdT.B; gdT.C; gdT.F","","Xcl1; Kit; Cd8a","Gzma; Gzmb; Ccl5"
"K101","","CD4.E; gdT.K; DN.A; DN.G; DP.wF","","Itm2a; Tox; Satb1; Ccr9; Tmsb10","H2-K1; H2-D1; Ms4a4b; Ly6a; Fxyd5"
"K102","","","","Matn4; Dhx40; Taf4b; Ern1; Lsmem1","Dgat1"
"K103","","","","Smc3; Cfap65; Ints6; Dip2b; Phtf1",""
"K104","","","","Gzma; A26c3; Arhgap27os3; Scin; Slc7a13",""
"K105","","","","Fabp2; Mbl2; Mup7; Fhit; Spred2","Rbp2; Gzmk; Fabp1; Apoa1; Defa24"
"K106","","","","Vwc2l; Atad2; Phf20l1; Cebpb; Slc25a38",""
"K107","","gdT.Z","","Vim; S100a6; Cd7; Ctla2a; Fcer1g","Trmt61b; Mest; Slc25a3; Cdk11b; Foxo1"
"K108","","","","","CT010467.1; Tpt1; Eef1a1; Cmss1; Cdk8"
"K109","","DP.wH","","Smtn; Slc9a9",""
"K110","","gdT.X","","Sostdc1; Pdcd1","CT010467.1; Tpt1; Tmsb4x; Cmss1; Eef1a1"
"K111","","gdT.X","","Edn3; Izumo1r; Cacna1d; Gpm6b; Cd200",""
"K112","","DP.wG","","Hs6st3; Gzmk; Stfa3","Sostdc1; Tff1"
"K113","","","","Psg28; Ccr10; Myo5a; Tpbpa; Smim13",""
"K114","","","","Prl3b1; Cts3; Tpbpa; Tpbpb; Ccr10","Il22; Psg21; Cts6; Rhox9; Prl8a8"
"K115","","","","Prl3a1; Tff1; Col4a3bp; Il10; Klri1","Prl3b1; Tpbpa; Furin; Fcer1g; Cts3"
"K116","","","","Ceacam13; Rhob; Tpbpa; Kri1; Sh3pxd2a",""
"K117","","CD4.wN; DN.G; DN.P; DP.wG","","Tnni1; Nrgn; Fcer1g; Cd7; Klhdc2","Ccl5; Thy1"
"K118","","CD8.K; Treg.P; DP.wP","","Ccnb2; Hmgb2; Hmgn2; Cenpa; H2az1","CT010467.1; Malat1; Ccl5; Cmss1; Tpt1"
"K119","","","CNS","Myl10; S100a6; Ptcra; Crip1; Ly6d","Ube2c; Hmgb2; Cenpa; H19; Ccnb2"
"K120","","","","Ifngas1; Ccl5; Ly6c2; Il2rb",""
"K121","","gdT.D; gdT.E; gdT.X; gdT.wM; CD8aa.D; CD8aa.wM; Tz.wM; DN.G; DN.wM","","Ikzf2; Dennd4a; Rabgap1l; Chn2; St6galnac3","Ccl5; Gzma; AW112010; Cd7; Nkg7"
"K122","","DN.A","","Ptprm; Hdac9; Myb; Smc4; Slamf7","Cd52; Il7r; Ccl5"
"K123","","","","Phactr1; Myl10","Sostdc1; H2ac8; H1f5; Hdac9; Tmsb10"
"K124","","gdT.X","","Gzmk; Arhgap29; H19; Cpeb4; Supt3","Ptprm; Hdac9; Ccnb2; Slamf7; Phactr1"
"K125","","","","Klra4; Gzma; Sostdc1","Klra7"
"K126","","DN.F","","Ncr1; Tyrobp; Fcer1g; Klrb1c; S100a6","Klra7"
"K127","DN","CD8.wV; CD8aa.B; CD8aa.E; Tz.A; Tz.B; DN.B; DN.C; DN.D; DN.E; DN.F; DN.H; DN.I; DN.P; DN.wM; DP.wD","mammary gland","Klra7; Gzmk","Sostdc1; Tff1"
"K128","","","","Cav1; Ptprk; Slamf7; Anxa5; Gpr183","Ccl5; Cd52; Cd2"
"K129","","CD8.wX","","Slc30a3; Ucp2; Crtam; Lat","Ly6e"
"K130","","","","Nrgn; Tnfrsf9; Ccl1; Nkg7; Anxa2","Tff1; Cmss1; Sostdc1; Cdk8; Gzmk"
"K131","","","","Cstb; Defb8; Ier5l; Fth1; Trmt61b","Fabp2; Il12rb2; Nr4a1; Tmem123"
"K132","","","","Dgat2; Itgae; Fa2h; Odc1; Glud1",""
"K133","","DN.A","","Slit3; Hdac9",""
"K134","","","","Sostdc1; Gzmk","Slit3; Stfa3"
"K135","","","","Hspa1a; Hspa1b; Hsp90aa1; Hsp90ab1; Dnajb1",""
"K136","","","","Reg4; Socs4; Adgrg5; Cnnm2; Atg10","Rbp2; Defa24; Apoa1; Fabp1; Adgrl2"
"K137","","","","Mat1a; Rcsd1; Ass1; Scp2; Tmem176b","Serpina1e; Gzmk; Kap; Apoe; Selenbp2"
"K138","","","","Gstp1; Cttnbp2; Serpina1e; Hrg; Rbm10","Alb"
"K139","","","","Abca8a; Cnot4; Mmd; Irf2bp2; Sft2d3",""
"K140","","","","Aqp8; Prap1; Rab4a; Klf10; Gstm1","Trmt61b; Areg; Gzmk; Serpina1e; Chpt1"
"K141","","","","Ambp; Cttnbp2; Fam20b; Phldb2; Miga1","Serpina1d; Alb; Fabp1; Car3; Gsta3"
"K142","","","","Cttnbp2; Serpina1d; Gzmk","Alb; Ambp"
"K143","","","","Alb; Cttnbp2",""
"K144","","","","Ugt2b34; Fabp2; Hspa1a","Defa24; Defa30; Fabp1; Rbp2; Defa38"
"K145","","","","Fabp2",""
"K146","","","","Fabp2; Slc10a2; Fabp6; Klrh1; Ahi1","Rbp2; Fabp1; Apoa1; Ckmt1; Spink1"
"K147","","","","Reg3g","Fabp2"
"K148","","","","Rbp2; Fabp1; Apoa1; Ckmt1","Fabp2"
"K149","","","","Pcdh7",""
"K150","","gdT.Z","","Malat1; Tmem176b; Tmsb4x; AW112010; Ifngr1","Olfm3; Slc25a3; Crip1; Mest; Cdkn1a"
"K151","","CD8.P; CD4.U; CD4.P; Treg.P; gdT.R; gdT.X; CD8aa.P; Tz.D; Tz.P; DN.P","","Pxdc1; Lmo4",""
"K152","","CD4.U; CD4.Y; Treg.D; Treg.E","","Ctla4; Itm2b; Il10; CT010467.1; Tmsb4x","Ccl5; Tnfrsf9; Cd8b1; Cd83; Rel"
"K153","","CD8.P; CD4.Y; CD4.P; gdT.Q; Tz.P; DN.P","","Sox13",""
"K154","","gdT.X","","","CT010467.1; Ccl5; Tpt1; Cmss1; Cdk8"
"K155","","gdT.R","","Gzma; Cdk8; Tcf7; Eef2; Gas5","Tmsb4x; H2-K1; Cd52; Tmsb10; Tagln2"
"K156","","CD4.U; gdT.Q; gdT.X","CNS","Hs3st1; Hilpda; Zfp36l1; Ldha","Il1rl1; Crip1"
"K157","","","","Dcn","Lmcd1"
"K158","","","","Emx2os; Plp2; Hacd2; Os9; Eif4enif1",""
"K159","","CD4.U","","Il1rl1; CT010467.1; Il7r; Cmss1; Cdk8","Ccl5; Gzmb; S100a6; Anxa2; Nkg7"
"K160","","","CNS","Erv3; Slc39a8; Bambi; Ccrl2; Zdhhc11","Hspa1a; Lmcd1; Hspa1b; Cryab; Dcn"
"K161","","CD4.Y; gdT.X","","Il17a","Gzmb"
"K162","","CD4.Y; gdT.Q; gdT.R; gdT.S; gdT.T; gdT.U; gdT.V; Tz.D","","Il22","Il17a; S100a6; Crip1; Pxdc1; Lgals1"
"K163","","Tz.wM","","Laptm5; Cd52; Cd3g; Il2rg; Cd3e","Cmss1; Tpt1; Rack1; Ccl5; Cdk8"
"K164","","","","Msln; Clu; Os9; Pet100; Nap1l1","Lmcd1"
"K165","","","","Kcnq5; Fam171b; Trim69; Cxcl2; Vmp1",""
"K166","","","CNS","Fau; Tmsb10; Uba52; Malat1; Serf2","Cdk8; Cmss1; H2-D1; H2-K1; Vim"
"K167","","gdT.X","","Igkv17-127",""
"K168","","","","Igkv1-133; Ighv6-3",""
"K169","","","","Gzmb; Gzma; Gzmk; Stfa3; Tff1","Sostdc1; Klra7; Camk1d; Xcl1; Cd52"
"K170","","CD4.G; CD4.Q; CD4.R; CD4.X; CD4.Y; Treg.F; gdT.A; gdT.I; Tz.wM; DP.wF","","Gzma; Rora; Lat; Ccr9; Atxn1","S100a6; Ly6c2; Fcer1g; Tmsb10; Tyrobp"
"K171","","DP.wF; DP.wG; DP.wP","","Igfbp4; Ccr7; Limd2; Arhgef1; Lef1","Ccl5; CT010467.1; Cmss1; Srgn; Cdk8"
"K172","","","","Prl3b1; Cts6; Il22","Tpbpa; Tpbpb; Ceacam11; Cts3; Ceacam14"
"K173","","","","Egr3; Egr1; Nr4a1; Nfkbid; Zfp36l1",""
"K174","","CD8.D; CD4.Y; gdT.T; gdT.X; DN.H; DP.wH","","Nfkbia; Ltb; Ly6a; H2-K1; Irf1","Vim; S100a6"
"K175","","gdT.X","","Stk39; B4galt1; Brwd1; Cdh1; Defa21",""
"K176","","gdT.A","","Ccl3; Ccl4; Ccl5",""
"K177","","CD4.T; CD4.U; CD4.X; gdT.R; gdT.S; gdT.T; gdT.Z","skin","Cxcl3; Crip1; CT010467.1; Lmna; Ramp3","Il22; Ctla4; Ly6a; Gzmb; AW112010"
"K178","","gdT.X","","Car6; Dusp2; Gzmk",""
"K179","","gdT.X","","Mxd1; Pla2g2f; Il4; Fgl2; Golim4","Myo1e; Carmil1"
"K180","","","","Lmo1; Ccl5; Nkg7",""
"K181","","CD8.K; CD8.P","","Gzmk; Ccl5","CT010467.1; Tpt1; Tmsb10; Tmsb4x; Cmss1"
"K182","","","","Ifitm1; Ifitm3",""
"K183","","gdT.R","","Gzmf; Gzmb","Xcl1"
"K184","","gdT.X","","Tff1; Klra7; Sostdc1; Il22","Gzmf; Gzmg; Ccl3; Gzma; Ifitm1"
"K185","","","","Vwde",""
"K186","","","","Hoxb5; Sostdc1; Xcl1; Maf; Ramp1","Gzmk; Hs6st2; Gzma; Penk; Gpm6b"
"K187","","gdT.X","","Il22; Sostdc1; Tff1; Ly6a; Il1r2","Gzmk; Cxcl3; Stfa3; Lmna; CT010467.1"
"K188","","","","Hs6st2; Cd34; H19; Hmgn2; Tyrobp","Mki67; Cd3g; Top2a; Diaph3; Gata2"
"K189","","","","Gzmk; Hs6st2; H19; Cpa3; Gata2","Cd34; Olfr91; Ifitm1; Klra7"
"K190","","","","Dcpp1; Dusp2; S100a6; Egr1; Dcpp2",""
"K191","","","","Prl8a2; Ctla2a; Cryab; Procr",""
"K192","","","","Gzmc; Gzmb",""
"K193","","","","Ccn3; Ero1l; Ctla2a; Rarres2; Slpi",""
"K194","","","","Lmcd1",""
"K195","","","","Mup15; Tex2; AU020206; Ddx42; Dnajb1",""
"K196","","CD4.Y; Treg.E","","Krt14; Gzma",""
"K197","","gdT.Z","","Gzmk; Defa24; Cyp2c50; Il22; Defa30","Hspa1a; Gzmc; Cxcl3; Fabp2; Defa41"
"K198","","gdT.X","","Idi2; Cd81; Tnfsf11; Tnfsf9; Ccl1","Ctla4"
"K199","","gdT.X","","Tff1; Sostdc1; Ccl5; Ikzf2; AW112010","Gzma; Gzmb; Il10; Ikzf3; Ramp3"
"K200","","","","Lor; Dlat; Pop4; Slc39a6; Marchf5","Crem; Kcnma1"
